Exercise,Muscle
21s Bicep Curl,Biceps
Ab Scissors,Abdominals
Ab Wheel,Abdominals
Aerobics,Cardio
Air Bike,Cardio
Arnold Press (Dumbbell),Shoulders
Around The World,Chest
Assisted Pistol Squats,Quadriceps
Back Extension (Hyperextension),Lower Back
Back Extension (Machine),Lower Back
Back Extension (Weighted Hyperextension),Lower Back
Band Pullaparts,Shoulders
Battle Ropes,Cardio
Behind the Back Bicep Wrist Curl (Barbell),Forearms
Behind the Back Curl (Cable),Biceps
Belt Squat(Machine),Quadriceps
Bench Dip,Triceps
Bench Press - Close Grip (Barbell),Triceps
Bench Press - Wide Grip (Barbell),Chest
Bench Press (Barbell),Chest
Bench Press (Cable),Chest
Bench Press (Dumbbell),Chest
Bench Press (Smith Machine),Chest
Bent Over Row (Band),Upper Back
Bent Over Row (Barbell),Upper Back
Bent Over Row (Dumbbell),Upper Back
Bicep Curl (Barbell),Biceps
Bicep Curl (Cable),Biceps
Bicep Curl (Dumbbell),Biceps
Bicep Curl (Machine),Biceps
Bicep Curl (Suspension),Biceps
Bicycle Crunch,Abdominals
Bicycle Crunch Raised Legs,Abdominals
Bird Dog,Glutes
Box Jump,Quadriceps
Box Squat (Barbell),Quadriceps
Boxing,Cardio
Bulgarian Split Squat,Quadriceps
Burpee,Full Body
Burpee Over the Bat,Full Body
Butterfly (Pec Deck),Chest
Cable Core Palloff Press,Abdominals
Cable Crunch,Abdominals
Cable Fly Crossovers,Chest
Cable Pull Through,Glutes
Cable Twist (Down to up),Abdominals
Cable Twist (Up to down),Abdominals
Calf Extension (Machine),Calves
Calf Press (Machine),Calves
Chest Dip,Chest
Chest Dip (Assisted),Chest
Chest Dip (Weighted),Chest
Chest Fly (Band),Chest
Chest Fly (Dumbbell),Chest
Chest Fly (Machine),Chest
Chest Fly (Suspension),Chest
Chest Press (Band),Chest
Chest Press (Machine),Chest
Chest Supported Incline Row (Dumbbell),Upper Back
Chest Supported Reverse Fly (Dumbbell),Shoulders
Chest Supported Y Raise (Dumbbell),Shoulders
Chin Up,Lats
Chin Up (Assisted),Lats
Chin Up (Weighted),Lats
Clamshell,Glutes
Clap Push Ups,Chest
Clean,Full Body
Clean and Jerk,Full Body
Clean and Press,Full Body
Clean and Pull,Full Body
Climbing,Cardio
Concentration Curl,Bicep
Cross Body Hammer Curl,Biceps
Crunch,Abdominals
Crunch (Machine),Abdominals
Crunch (Weighted),Abdominals
Curtsy Lunge (Dumbbell),Quadriceps
Cycling,Cardio
Dead Bug,Abdominals
Dead Hang,Upper Back
Deadlift (Band),Glutes
Deadlift (Barbell),Glutes
Deadlift (Dumbbell),Glutes
Deadlift (Smith Machine),Glutes
Deadlift (Trap bar),Glutes
Deadlift High Pull,Full Body
Decline Bench Press (Barbell),Chest
Decline Bench Press (Dumbbell),Chest
Decline Bench Press (Machine),Chest
Decline Bench Press (Smith Machine),Chest
Decline Chest Fly (Dumbbell),Chest
Decline Crunch,Abdominals
Decline Crunch (Weighted),Abdominals
Decline Push Up,Chest
Diamond Push Up,Triceps
Downward Dog,Full Body
Drag Curl,Biceps
Dragon Flag,Abdominals
Dragonfly,Abdominals
Dumbbell Row,Lats
Dumbbell Snatch,Full Body
Dumbbell Squeeze Press,Chest
Dumbbell Step Up,Quadriceps
Elbow to Knee,Abdominals
Elliptical Trainer,Cardio
EZ Bar Biceps Curl,Biceps
Face Pull,Shoulders
Farmers Walk,Full Body
Feet Up Bench Press (Barbell),Chest
Fire Hydrants,Glutes
Floor Press (Barbell),Chest
Floor Press (Dumbbell),Chest
Floor Triceps Dip,Triceps
Flutter Kicks,Abdominals
Frog Jumps,Quadriceps
Frog Pumps (Dumbbell),Glutes
Front Lever Raise,Full Body
Front Raise (Band),Shoulders
Front Raise (Cable),Shoulders
Front Raise (Dumbbell),Shoulders
Front Raise (Suspension),Shoulders
Front Squat,Quadriceps
Full Squat,Quadriceps
Glute Bridge,Glutes
Glute Ham Raise,Hamstrings
Glute Kickback (Machine),Glutes
Glute Kickback on Floor,Glutes
Goblet Squat,Quadriceps
Good Morning (Barbell),Hamstrings
Gorilla Row (Kettlebell),Upper Back
Hack Squat,Quadriceps
Hack Squat (Machine),Quadriceps
Hammer Curl (Band),Biceps
Hammer Curl (Cable),Biceps
Hammer Curl (Dumbbell),Biceps
Handstand Hold,Full Body
Handstand Push Up,Shoulders
Hang Clean,Full Body
Hang Snatch,Full Body
Hanging Knee Raise,Abdominals
Hanging Leg Raise,Abdominals
Heel Taps,Abdominals
Hex Press (Dumbbell),Chest
High Knee Skips,Full Body
High Knees,Full Body
HIIT,Cardio
Hiking,Cardio
Hip Abduction (Machine),Abductors
Hip Adduction (Machine),Adductors
Hip Thrust (Barbell),Glutes
Hip Thrust (Machine),Glutes
Hip Thrust (Smith Machine),Glutes
Hollow Rock,Abdominals
Incline Bench Press (Barbell),Chest
Incline Bench Press (Smith Machine),Chest
Incline Chest Fly (Dumbbell),Chest
Incline Chest Press (Machine),Chest
Incline Push Ups,Chest
Inverted Row,Upper Back
Iso-Lateral Chest Press (Machine),Chest
Iso-Lateral High Row (Machine),Lats
Iso-Lateral Low Row,Upper Back
Iso-Lateral Row (Machine),Upper Back
Jack knife (Suspension),Abdominals
Jackknife Sit Up,Abdominals
JM Press (Barbell),Triceps
Jump Rope,Cardio
Jump Shrug,Full Body
Jump Squat,Quadriceps
Jumping Jack,Full Body
Jumping Lunge,Quadriceps
Kettlebell Around the World,Shoulders
Kettlebell Clean,Full Body
Kettlebell Curl,Biceps
Kettlebell Goblet Squat,Quadriceps
Kettlebell Halo,Shoulders
Kettlebell High Pull,Full Body
Kettlebell Shoulder Press,Shoulders
Kettlebell Snatch,Full Body
Kettlebell Swing,Full Body
Kettlebell Turkish Get Up,Full Body
Kipping Pull Up,Lats
Knee Raise Parallel Bars,Abdominals
Kneeling Pulldown (band),Lats
Kneeling Push Up,Chest
L-Sit Hold,Abdominals
Landmine 180,Abdominals
Landmine Row,Upper Back
Landmine Squat and Press,Full Body
Lat Pulldown - Close Grip (Cabel),Lats
Lat Pulldown (Band),Lats
Lat Pulldown (Cabel),Lats
Lat Pulldown (Machine),Lats
Lateral Band Walks,Glutes
Lateral Box Jump,Quadriceps
Lateral Leg Raises,Glutes
Lateral Lunge,Quadriceps
Lateral Raise (Band),Shoulders
Lateral Raise (Dumbbell),Shoulders
Lateral Raise (Dumbbell),Shoulders
Lateral Raise (Machine),Shoulders
Lateral Squat,Quadriceps
Leg Extension (Machine),Quadriceps
Leg Press (Machine),Quadriceps
Leg Press Horizontal (Machine),Quadriceps
Leg Raise Parallel Bars,Abdominals
Low Cabel Fly Crossovers,Chest
Low Row (Suspension),Upper Back
Lunge,Quadriceps
Lunge (Barbell),Quadriceps
Lunge (Dumbbell),Quadriceps
Lying Knee Raise,Abdominals
Lying Leg Curl (Machine),Hamstrings
Lying Leg Raise,Abdominals
Lying Neck Curls,Neck
Lying Neck Curls (Weighted),Neck
Lying Neck Extension (Weighted),Neck
Medows Rows (Barbell),Upper Back
Mountain Climber,Full Body
Muscle Up,Full Body
Negative Pull Up,Full Body
Nordic Hamstrings Curls,Hamstrings
Oblique Crunch,Abdominals
One Arm Push Up,Chest
Overhead Curl (Cable),Biceps
Overhead Dumbbell Lunge,Quadriceps
Overhead Plate Raise,Shoulders
Overhead Press (Barbell),Shoulders
Overhead Press (Dumbbell),Shoulders
Overhead Press (Smith Machine),Shoulders
Overhead Squat,Full Body
Overhead Triceps Extension (Cable),Triceps
Partial Glute Bridge (Barbell),Glutes
Pause Squat (Barbell),Quadriceps
Pendlay Row (Barbell),Upper Back
Pendulum Squat (Machine),Quadriceps
Pike Pushup,Shoulders
Pilates,Full Body
Pinwheel Curl (Dumbbell),Biceps
Pistol Squat,Quadriceps
Plank,Abdominals
Plate Curl,Biceps
Plate Front Raise,Shoulders
Plate Pess,Chest
