Bodyweight,Beginner,Novice,Intermediate,Advanced,Elite,Exercise
40,< 1,< 1,6,12,20,Chin Ups
45,< 1,< 1,6,12,20,Chin Ups
50,< 1,< 1,6,12,19,Chin Ups
55,< 1,< 1,7,12,19,Chin Ups
60,< 1,< 1,6,12,18,Chin Ups
65,< 1,< 1,6,11,17,Chin Ups
70,< 1,< 1,6,11,17,Chin Ups
75,< 1,< 1,6,10,16,Chin Ups
80,< 1,< 1,6,10,15,Chin Ups
85,< 1,< 1,5,9,14,Chin Ups
90,< 1,< 1,5,9,14,Chin Ups
95,< 1,< 1,5,9,13,Chin Ups
100,< 1,< 1,4,8,12,Chin Ups
105,< 1,< 1,4,8,12,Chin Ups
110,< 1,< 1,3,8,11,Chin Ups
115,< 1,< 1,3,7,10,Chin Ups
120,< 1,< 1,3,7,10,Chin Ups
40,< 1,9,36,70,110,Decline Crunch
45,< 1,10,35,67,104,Decline Crunch
50,< 1,10,35,65,99,Decline Crunch
55,< 1,10,34,62,95,Decline Crunch
60,< 1,11,33,60,90,Decline Crunch
65,< 1,11,32,58,86,Decline Crunch
70,< 1,11,31,55,83,Decline Crunch
75,< 1,10,30,53,79,Decline Crunch
80,< 1,10,29,51,76,Decline Crunch
85,< 1,10,28,50,73,Decline Crunch
90,< 1,10,27,48,71,Decline Crunch
95,< 1,10,26,46,68,Decline Crunch
100,< 1,9,25,45,66,Decline Crunch
105,< 1,9,24,43,64,Decline Crunch
110,< 1,9,24,42,61,Decline Crunch
115,< 1,8,23,40,59,Decline Crunch
120,< 1,8,22,39,58,Decline Crunch
40,< 1,< 1,6,14,25,Pull Ups
45,< 1,< 1,6,14,24,Pull Ups
50,< 1,< 1,6,14,24,Pull Ups
55,< 1,< 1,7,14,23,Pull Ups
60,< 1,< 1,6,14,22,Pull Ups
65,< 1,< 1,6,13,21,Pull Ups
70,< 1,< 1,6,12,20,Pull Ups
75,< 1,< 1,6,12,19,Pull Ups
80,< 1,< 1,6,11,19,Pull Ups
85,< 1,< 1,5,11,18,Pull Ups
90,< 1,< 1,5,10,17,Pull Ups
95,< 1,< 1,5,10,16,Pull Ups
100,< 1,< 1,4,9,15,Pull Ups
105,< 1,< 1,4,9,15,Pull Ups
110,< 1,< 1,3,9,14,Pull Ups
115,< 1,< 1,3,8,13,Pull Ups
120,< 1,< 1,3,8,12,Pull Ups
