Bodyweight,Beginner,Novice,Intermediate,Advanced,Elite,Exercise
40,3,8,17,28,41,Barbell Curl
45,4,10,19,30,44,Barbell Curl
50,5,11,20,32,47,Barbell Curl
55,5,12,22,34,49,Barbell Curl
60,6,13,23,36,51,Barbell Curl
65,7,14,25,38,54,Barbell Curl
70,8,15,26,40,56,Barbell Curl
75,8,16,27,41,57,Barbell Curl
80,9,17,29,43,59,Barbell Curl
85,10,18,30,44,61,Barbell Curl
90,10,19,31,46,63,Barbell Curl
95,11,20,32,47,64,Barbell Curl
100,12,21,33,49,66,Barbell Curl
105,12,22,34,50,67,Barbell Curl
110,13,23,35,51,69,Barbell Curl
115,14,23,36,52,70,Barbell Curl
120,14,24,37,53,71,Barbell Curl
40,6,19,41,71,108,Barbell Shrug
45,8,23,47,79,117,Barbell Shrug
50,10,27,52,85,125,Barbell Shrug
55,13,30,57,92,133,Barbell Shrug
60,15,34,61,98,140,Barbell Shrug
65,17,37,66,103,146,Barbell Shrug
70,19,40,70,108,153,Barbell Shrug
75,21,43,74,114,159,Barbell Shrug
80,24,46,78,118,165,Barbell Shrug
85,26,49,82,123,170,Barbell Shrug
90,28,52,86,128,175,Barbell Shrug
95,30,55,89,132,180,Barbell Shrug
100,32,58,93,136,185,Barbell Shrug
105,34,60,96,140,190,Barbell Shrug
110,36,63,99,144,195,Barbell Shrug
115,38,65,102,148,199,Barbell Shrug
120,39,68,105,151,203,Barbell Shrug
40,8,18,32,50,70,Bench Press
45,10,21,36,55,76,Bench Press
50,12,24,40,59,82,Bench Press
55,15,27,43,64,87,Bench Press
60,17,29,47,68,92,Bench Press
65,19,32,50,72,96,Bench Press
70,20,34,53,75,101,Bench Press
75,22,37,56,79,105,Bench Press
80,24,39,59,82,109,Bench Press
85,26,41,62,86,112,Bench Press
90,28,44,64,89,116,Bench Press
95,29,46,67,92,119,Bench Press
100,31,48,69,95,123,Bench Press
105,33,50,72,98,126,Bench Press
110,34,52,74,100,129,Bench Press
115,36,54,76,103,132,Bench Press
120,37,56,79,106,135,Bench Press
40,3,7,14,24,35,Bent Over Dumbbell Row
45,4,8,16,25,37,Bent Over Dumbbell Row
50,4,9,17,27,38,Bent Over Dumbbell Row
