Bodyweight,Beginner,Novice,Intermediate,Advanced,Elite,Exercise
50,< 1,6,15,26,37,Chin Ups
55,< 1,7,15,25,36,Chin Ups
60,< 1,7,15,25,35,Chin Ups
65,< 1,7,15,24,34,Chin Ups
70,< 1,7,14,23,33,Chin Ups
75,< 1,7,14,23,32,Chin Ups
80,< 1,7,14,22,31,Chin Ups
85,< 1,7,13,21,29,Chin Ups
90,< 1,7,13,20,28,Chin Ups
95,< 1,6,12,20,27,Chin Ups
100,< 1,6,12,19,26,Chin Ups
105,< 1,6,11,18,26,Chin Ups
110,< 1,6,11,18,25,Chin Ups
115,< 1,5,10,17,24,Chin Ups
120,< 1,5,10,16,23,Chin Ups
125,< 1,5,10,16,22,Chin Ups
130,< 1,4,9,15,21,Chin Ups
135,< 1,4,9,14,21,Chin Ups
140,< 1,4,9,14,20,Chin Ups
50,< 1,17,39,65,94,Decline Crunch
55,< 1,16,36,61,88,Decline Crunch
60,< 1,15,34,57,83,Decline Crunch
65,< 1,14,32,54,78,Decline Crunch
70,< 1,13,31,51,74,Decline Crunch
75,< 1,12,29,48,70,Decline Crunch
80,< 1,11,27,46,66,Decline Crunch
85,< 1,10,26,44,63,Decline Crunch
90,< 1,10,24,42,60,Decline Crunch
95,< 1,9,23,40,57,Decline Crunch
100,< 1,9,22,38,55,Decline Crunch
105,< 1,8,21,36,53,Decline Crunch
110,< 1,8,20,34,50,Decline Crunch
115,< 1,7,19,33,48,Decline Crunch
120,< 1,7,18,32,46,Decline Crunch
125,< 1,6,17,30,45,Decline Crunch
130,< 1,6,16,29,43,Decline Crunch
135,< 1,5,15,28,41,Decline Crunch
140,< 1,5,14,27,40,Decline Crunch
50,< 1,5,15,27,40,Pull Ups
55,< 1,6,15,26,39,Pull Ups
60,< 1,6,15,26,37,Pull Ups
65,< 1,6,15,25,36,Pull Ups
70,< 1,6,14,24,35,Pull Ups
75,< 1,6,14,24,34,Pull Ups
80,< 1,6,14,23,33,Pull Ups
85,< 1,6,13,22,32,Pull Ups
90,< 1,6,13,21,30,Pull Ups
95,< 1,6,12,21,29,Pull Ups
100,< 1,6,12,20,28,Pull Ups
105,< 1,5,11,19,27,Pull Ups
110,< 1,5,11,18,26,Pull Ups
115,< 1,5,10,18,25,Pull Ups
120,< 1,4,10,17,25,Pull Ups
125,< 1,4,10,16,24,Pull Ups
130,< 1,4,9,16,23,Pull Ups
135,< 1,4,9,15,22,Pull Ups
140,< 1,3,9,15,21,Pull Ups
