Bodyweight,Beginner,Novice,Intermediate,Advanced,Elite,Exercise
50,9,18,30,46,64,Barbell Curl
55,11,20,34,50,69,Barbell Curl
60,13,23,37,54,73,Barbell Curl
65,14,25,40,58,78,Barbell Curl
70,16,27,43,61,82,Barbell Curl
75,18,30,45,64,85,Barbell Curl
80,19,32,48,67,89,Barbell Curl
85,21,34,50,70,93,Barbell Curl
90,23,36,53,73,96,Barbell Curl
95,24,38,55,76,99,Barbell Curl
100,26,40,58,79,102,Barbell Curl
105,27,42,60,82,105,Barbell Curl
110,29,43,62,84,108,Barbell Curl
115,30,45,64,87,111,Barbell Curl
120,32,47,66,89,114,Barbell Curl
125,33,49,68,91,116,Barbell Curl
130,34,50,70,94,119,Barbell Curl
135,36,52,72,96,121,Barbell Curl
140,37,54,74,98,124,Barbell Curl
50,17,38,69,108,155,Barbell Shrug
55,22,46,79,122,171,Barbell Shrug
60,28,54,90,135,186,Barbell Shrug
65,34,62,100,147,201,Barbell Shrug
70,40,70,110,159,215,Barbell Shrug
75,46,78,120,171,228,Barbell Shrug
80,52,85,129,182,241,Barbell Shrug
85,58,93,139,193,254,Barbell Shrug
90,64,100,148,204,266,Barbell Shrug
95,70,108,156,214,278,Barbell Shrug
100,75,115,165,224,289,Barbell Shrug
105,81,122,173,234,300,Barbell Shrug
110,87,129,181,243,311,Barbell Shrug
115,92,135,189,253,321,Barbell Shrug
120,98,142,197,262,332,Barbell Shrug
125,103,148,205,270,341,Barbell Shrug
130,108,155,212,279,351,Barbell Shrug
135,113,161,220,287,360,Barbell Shrug
140,119,167,227,295,370,Barbell Shrug
50,24,38,57,79,103,Bench Press
55,29,45,64,87,113,Bench Press
60,34,51,72,96,123,Bench Press
65,39,57,79,104,132,Bench Press
70,44,62,85,112,141,Bench Press
75,49,68,92,119,149,Bench Press
80,53,74,98,127,157,Bench Press
85,58,79,105,134,165,Bench Press
90,62,84,111,141,172,Bench Press
95,67,89,116,147,180,Bench Press
100,71,94,122,153,187,Bench Press
105,75,99,128,160,194,Bench Press
110,80,104,133,166,200,Bench Press
115,84,109,138,172,207,Bench Press
120,88,113,143,177,213,Bench Press
125,92,118,148,183,219,Bench Press
130,95,122,153,188,225,Bench Press
135,99,126,158,194,231,Bench Press
140,103,130,163,199,236,Bench Press
50,6,13,23,36,51,Bent Over Dumbbell Row
55,7,15,25,39,55,Bent Over Dumbbell Row
60,8,16,28,42,58,Bent Over Dumbbell Row
65,10,18,30,45,61,Bent Over Dumbbell Row
70,11,20,32,47,64,Bent Over Dumbbell Row
75,12,21,34,50,67,Bent Over Dumbbell Row
80,13,23,36,52,70,Bent Over Dumbbell Row
85,14,24,38,54,73,Bent Over Dumbbell Row
90,15,26,40,57,75,Bent Over Dumbbell Row
95,17,27,42,59,78,Bent Over Dumbbell Row
100,18,29,43,61,80,Bent Over Dumbbell Row
105,19,30,45,63,82,Bent Over Dumbbell Row
110,20,32,47,65,85,Bent Over Dumbbell Row
115,21,33,48,67,87,Bent Over Dumbbell Row
120,22,34,50,68,89,Bent Over Dumbbell Row
125,23,35,51,70,91,Bent Over Dumbbell Row
130,24,37,53,72,93,Bent Over Dumbbell Row
135,25,38,54,73,95,Bent Over Dumbbell Row
140,26,39,56,75,96,Bent Over Dumbbell Row
50,21,34,51,71,94,Bent Over Row
55,25,39,57,79,102,Bent Over Row
60,29,44,63,86,110,Bent Over Row
65,33,49,69,93,118,Bent Over Row
70,37,54,75,99,126,Bent Over Row
75,41,59,80,106,133,Bent Over Row
80,45,63,86,112,140,Bent Over Row
85,49,68,91,118,146,Bent Over Row
90,52,72,96,123,153,Bent Over Row
95,56,76,101,129,159,Bent Over Row
100,60,80,106,134,165,Bent Over Row
105,63,84,110,139,170,Bent Over Row
110,66,88,115,144,176,Bent Over Row
115,70,92,119,149,181,Bent Over Row
120,73,96,123,154,187,Bent Over Row
125,76,100,128,159,192,Bent Over Row
130,79,103,132,163,197,Bent Over Row
135,83,107,136,168,202,Bent Over Row
140,86,110,139,172,206,Bent Over Row
50,-6 kg,+8 kg,+24 kg,+42 kg,+61 kg,Chin Ups
